line_cd,line_sort,rr_name,line_type,enabled,last_date,line_name,line_nickname
31010,31010,2,1,,近畿日本鉄道,鳥羽線,
31011,31011,2,1,,近畿日本鉄道,天理線,
31012,31012,2,1,,近畿日本鉄道,道明寺線,
31013,31013,2,1,,近畿日本鉄道,内部線,
31014,31014,2,1,,近畿日本鉄道,八王子線,
31015,31015,2,1,,近畿日本鉄道,志摩線,
31016,31016,2,1,,近畿日本鉄道,生駒線,
31017,31017,2,1,,近畿日本鉄道,田原本線,
31018,31018,2,1,,近畿日本鉄道,御所線,
31019,31019,2,1,,近畿日本鉄道,鈴鹿線,
31020,31020,2,1,,近畿日本鉄道,奈良線,
31021,31021,2,1,,近畿日本鉄道,信貴線,
31022,31022,2,1,,近畿日本鉄道,長野線,
31023,31023,2,1,,近畿日本鉄道,けいはんな線,
31024,31024,7,1,,近畿日本鉄道,西信貴鋼索線,
31025,31025,2,1,,近畿日本鉄道,京都線,
31026,31026,7,1,,近畿日本鉄道,生駒鋼索線,
31027,31027,2,1,,近畿日本鉄道,名古屋線,
32001,32001,2,1,,南海電気鉄道,南海本線,
32002,32002,2,1,,南海電気鉄道,空港線,
32003,32003,2,1,,南海電気鉄道,和歌山港線,
32004,32004,2,1,,南海電気鉄道,高師浜線,
32005,32005,2,1,,南海電気鉄道,加太線,
32006,32006,2,1,,南海電気鉄道,多奈川線,
32007,32007,2,1,,南海電気鉄道,高野線,りんかんサンライン
32008,32008,7,1,,南海電気鉄道,鋼索線,高野山ケーブル
32009,32009,2,1,,南海電気鉄道,汐見橋線,
33001,33001,2,1,,京阪電気鉄道,京阪本線,
33002,33002,2,1,,京阪電気鉄道,宇治線,
33003,33003,2,1,,京阪電気鉄道,交野線,
33004,33004,2,1,,京阪電気鉄道,鴨東線,
33005,33005,2,1,,京阪電気鉄道,鋼索線,男山ケーブル
33006,33006,3,1,,京阪電気鉄道,石山坂本線,
33007,33007,3,1,,京阪電気鉄道,京津線,
33008,33008,2,1,,京阪電気鉄道,中之島線,
34001,34001,2,1,,阪急電鉄,神戸本線,
34002,34002,2,1,,阪急電鉄,宝塚本線,
34003,34003,2,1,,阪急電鉄,京都本線,
34004,34004,2,1,,阪急電鉄,今津線,
34005,34005,2,1,,阪急電鉄,甲陽線,
34006,34006,2,1,,阪急電鉄,伊丹線,
34007,34007,2,1,,阪急電鉄,箕面線,
34008,34008,2,1,,阪急電鉄,千里線,
34009,34009,2,1,,阪急電鉄,嵐山線,
35001,35001,2,1,,阪神電気鉄道,本線,
35002,35002,2,1,,阪神電気鉄道,阪神なんば線,
35003,35003,2,1,,阪神電気鉄道,武庫川線,
36001,36001,2,1,,西日本鉄道,天神大牟田線,
36002,36002,2,1,,西日本鉄道,太宰府線,
36003,36003,2,1,,西日本鉄道,甘木線,
36004,36004,2,1,,西日本鉄道,貝塚線,
99101,99101,6,1,,札幌市交通局,東西線,
99102,99102,6,1,,札幌市交通局,南北線,
99103,99103,6,1,,札幌市交通局,東豊線,
99104,99104,3,1,,札幌市交通局,札幌市電山鼻線,
99105,99105,3,1,,函館市交通局,函館市電２系統,
99106,99106,3,1,,函館市交通局,函館市電５系統,
99107,99107,2,1,,北海道ちほく高原鉄道,北海道ちほく高原鉄道線,
99201,99201,2,1,,津軽鉄道,津軽鉄道線,
99202,99202,2,1,,弘南鉄道,弘南線,
99203,99203,2,1,,弘南鉄道,大鰐線,
99204,99204,2,1,,十和田観光電鉄,十和田観光電鉄線,
99205,99205,2,1,,IGRいわて銀河鉄道,いわて銀河鉄道線,
99206,99206,2,1,,青い森鉄道,青い森鉄道線,
99207,99207,2,1,,三陸鉄道,北リアス線,
99208,99208,2,1,,三陸鉄道,南リアス線,
99209,99209,2,1,,秋田内陸縦貫鉄道,秋田内陸線,
99210,99210,2,1,,由利高原鉄道,鳥海山ろく線,
99211,99211,2,1,,山形鉄道,フラワー長井線,
99212,99212,2,1,,くりはら田園鉄道,くりはら田園鉄道線,
99213,99213,2,1,,阿武隈急行,阿武隈急行線,
99214,99214,2,1,,仙台市交通局,南北線,
99215,99215,2,1,,福島交通,飯坂線,
99216,99216,2,1,,会津鉄道,会津線,
99217,99217,2,1,,仙台空港鉄道,仙台空港線,
99301,99301,2,1,,東京都交通局,大江戸線,
99302,99302,2,1,,東京都交通局,浅草線,
99303,99303,2,1,,東京都交通局,三田線,
99304,99304,2,1,,東京都交通局,新宿線,
99305,99305,3,1,,東京都交通局,都電荒川線,
99306,99306,2,1,,秩父鉄道,秩父本線,
99307,99307,2,1,,埼玉高速鉄道,埼玉高速鉄道線,
99308,99308,2,1,,いすみ鉄道,いすみ線,
99309,99309,2,1,,首都圏新都市鉄道,つくばエクスプレス線,
99310,99310,2,1,,横浜高速鉄道,みなとみらい線,
99311,99311,6,1,,ゆりかもめ,東京臨海新交通臨海線,
99312,99312,2,1,,わたらせ渓谷鐵道,わたらせ渓谷線,
99313,99313,6,1,,山万,ユーカリが丘線,
99314,99314,2,1,,伊豆箱根鉄道,大雄山線,
99315,99315,2,1,,ひたちなか海浜鉄道,湊線,
99316,99316,2,1,,横浜市交通局,１号線・３号線,ブルーライン
99317,99317,6,1,,横浜新都市交通,金沢シーサイドライン,
99318,99318,2,1,,関東鉄道,常総線,
99319,99319,2,1,,関東鉄道,竜ヶ崎線,
99320,99320,2,1,,江ノ島電鉄,江ノ島電鉄線,
99321,99321,6,1,,埼玉新都市交通,伊奈線,
99322,99322,2,1,,鹿島鉄道,鹿島鉄道線,
99323,99323,2,1,,鹿島臨海鉄道,大洗鹿島線,
99324,99324,2,1,,芝山鉄道,芝山鉄道線,
99325,99325,2,1,,小湊鐵道,小湊鉄道線,
99326,99326,4,1,,湘南モノレール,江の島線,
99327,99327,2,1,,上信電鉄,上信線,
99328,99328,2,1,,上毛電気鉄道,上毛線,
99329,99329,2,1,,新京成電鉄,新京成線,
99330,99330,2,1,,真岡鐵道,真岡線,
99331,99331,4,1,,千葉都市モノレール,１号線,
99332,99332,4,1,,千葉都市モノレール,２号線,
99333,99333,2,1,,流鉄,流山線,
99334,99334,5,1,,多摩都市モノレール,多摩モノレール線,
99335,99335,2,1,,銚子電気鉄道,銚子電鉄線,
99336,99336,5,1,,東京モノレール,東京モノレール羽田空港線,
99337,99337,2,1,,東京臨海高速鉄道,りんかい線,
99338,99338,2,1,,東葉高速鉄道,東葉高速線,
99339,99339,2,1,,箱根登山鉄道,鉄道線,
99340,99340,2,1,,北総鉄道,北総線,
99341,99341,2,1,,野岩鉄道,会津鬼怒川線,
99342,99305,6,1,,東京都交通局,日暮里・舎人ライナー,
99343,99316,2,1,,横浜市交通局,４号線,グリーンライン
99401,99401,2,1,,富士急行,富士急行線(大月線・河口湖線),
99402,99402,2,1,,北越急行,ほくほく線,
99403,99403,2,1,,しなの鉄道,しなの鉄道線,
99404,99404,2,1,,上田交通,別所線,
99405,99405,2,1,,長野電鉄,長野線,
99406,99406,2,1,,長野電鉄,屋代線,
99407,99407,2,1,,アルピコ交通,上高地線,
99408,99408,2,1,,富山地方鉄道,本線,
99409,99409,2,1,,富山地方鉄道,立山線,
99410,99410,2,1,,富山地方鉄道,不二越線・上滝線,
99411,99411,2,1,,神岡鉄道,神岡鉄道線,
99412,99412,2,1,,黒部峡谷鉄道,本線,
99413,99413,3,1,,富山地方鉄道,市内線,
99414,99414,3,1,,万葉線,万葉線(新湊港線・高岡軌道線),
99415,99415,3,1,,富山ライトレール,富山港線,
99416,99416,2,1,,北陸鉄道,石川線,
99417,99417,2,1,,北陸鉄道,浅野川線,
99418,99418,2,1,,のと鉄道,七尾線,
99419,99419,2,1,,えちぜん鉄道,勝山永平寺線,
99420,99420,2,1,,えちぜん鉄道,三国芦原線,
99421,99421,3,1,,福井鉄道,福武線,
99422,99413,3,1,,富山地方鉄道,富山都心線,
99501,99501,2,1,,伊豆急行,伊豆急行線,
99502,99502,2,1,,伊豆箱根鉄道,駿豆線,
99503,99503,2,1,,岳南鉄道,岳南線,
99504,99504,2,1,,静岡鉄道,静岡清水線,
99505,99505,2,1,,天竜浜名湖鉄道,天竜浜名湖線,
99506,99506,2,1,,遠州鉄道,鉄道線,
99507,99507,2,1,,大井川鐵道,大井川本線,
99508,99508,2,1,,大井川鐵道,井川線,
99509,99509,2,1,,名古屋臨海高速鉄道,西名古屋港線,あおなみ線
99510,99510,2,1,,東海交通事業,城北線,
99511,99511,2,1,,愛知環状鉄道,愛知環状鉄道線,
99512,99512,9,1,,愛知高速交通,東部丘陵線,リニモ
99513,99513,2,1,,名古屋市交通局,東山線,
99514,99514,2,1,,名古屋市交通局,名城線,
99515,99515,2,1,,名古屋市交通局,名港線,
99516,99516,2,1,,名古屋市交通局,鶴舞線,
99517,99517,2,1,,名古屋市交通局,桜通線,
99518,99518,2,1,,名古屋市交通局,上飯田線,
99519,99519,6,1,,桃花台新交通,桃花台新交通線,
99520,99520,2,1,,豊橋鉄道,渥美線,
99521,99521,3,1,,豊橋鉄道,東田本線,
99522,99522,3,1,,豊橋鉄道,東田本線(運動公園前線),
99523,99523,6,1,,名古屋ガイドウェイバス,ガイドウェイバス志段味線,ゆとりーとライン
99524,99524,2,1,,明知鉄道,明知線,
99525,99525,2,1,,長良川鉄道,越美南線,
99526,99526,2,1,,樽見鉄道,樽見線,
99528,99528,2,1,,三岐鉄道,三岐線,
99529,99529,2,1,,三岐鉄道,北勢線,
